ArchivesSpace URI,Agent Name,SNAC ARK,Update Status,Web URL
/agents/people/73854,"Adams, Franklin P. (Franklin Pierce), 1881-1960",http://n2t.net/ark:/99166/w63r0zfr,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73854
/agents/people/58069,"Adams, Frederick B. (Frederick Baldwin), 1910-2001",http://n2t.net/ark:/99166/w6b85kxq,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/58069
/agents/people/82676,"Adams, George Burton, 1851-1925",http://n2t.net/ark:/99166/w66m3n9x,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/82676
/agents/people/91439,"Adams, Hannah, 1755-1831",http://n2t.net/ark:/99166/w63n2bbp,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/91439
/agents/people/60400,"Adams, J. Donald (James Donald), 1891-1968",http://n2t.net/ark:/99166/w6765h4z,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/60400
/agents/people/89316,"Adams, James Luther, 1901-1994",http://n2t.net/ark:/99166/w6qn6g0z,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/89316
/agents/people/79146,"Adams, James, 1737-1802",http://n2t.net/ark:/99166/w60009mm,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/79146
/agents/people/57743,"Adams, John Chester",http://n2t.net/ark:/99166/w62z3hk2,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/57743
/agents/people/67611,"Adams, John, 1735-1826",http://n2t.net/ark:/99166/w61h1b9v,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/67611
/agents/people/68360,"Adams, John, 1750?-1814",http://n2t.net/ark:/99166/w6pk4jg9,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/68360
/agents/people/68958,"Adams, Joseph Quincy, 1881-1946",http://n2t.net/ark:/99166/w6mb10p6,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/68958
/agents/people/87339,"Adams, Katharine, 1862-1952",http://n2t.net/ark:/99166/w6sf3gbv,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/87339
/agents/people/68540,"Adams, Mark, 1925-2006",http://n2t.net/ark:/99166/w6vq4frk,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/68540
/agents/people/67650,"Adams, Mary L.",http://n2t.net/ark:/99166/w6b97zp7,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/67650
/agents/people/88340,"Adams, Samuel, 1722-1803",http://n2t.net/ark:/99166/w6wr0vv1,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/88340
/agents/people/70847,"Adams, Sherman, 1899-1986",http://n2t.net/ark:/99166/w62v2fp5,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/70847
/agents/people/90080,"Adams, Thomas Sewall, 1873-1933",http://n2t.net/ark:/99166/w6sn0r2h,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/90080
/agents/people/57541,"Adams, William, 1650-1685",http://n2t.net/ark:/99166/w65437hh,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/57541
/agents/people/74902,"Adamson, Robert",http://n2t.net/ark:/99166/w69g6g83,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/74902
